"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"1";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"2";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"3";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Push Up";"4";"65.181223569";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"1";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"2";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"3";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Inverted Row (Bodyweight)";"4";"";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"1";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"2";"6.80388555";"7";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"3";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Lateral Raise (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"1";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"2";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"3";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Bicep Curl (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"1";"0.0";"4";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"2";"0.0";"7";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"3";"0.0";"4";"";"";"";"";"8 rep"
"1";"2020-01-20 11:43:41";"Hypertrophy 1";"3324";"Triceps Extension (Dumbbell)";"4";"0.0";"4";"";"";"";"";"8 rep"
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"1";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"2";"65.090505095";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"3";"65.090505095";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Push Up";"4";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"1";"";"5";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"2";"";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"3";"";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Inverted Row (Bodyweight)";"4";"";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"2";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"3";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Lateral Raise (Dumbbell)";"4";"6.80388555";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"1";"6.80388555";"6";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"2";"6.80388555";"11";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"3";"6.80388555";"7";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Bicep Curl (Dumbbell)";"4";"6.80388555";"10";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"1";"65.090505095";"5";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"2";"65.090505095";"9";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"3";"65.090505095";"8";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Tricep Curl ";"4";"65.090505095";"0";"";"";"";"";""
"2";"2020-04-20 17:24:42";"Hypertrophy 1: 10-12";"3157";"Pistol Squat";"1";"65.090505095";"0";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"1";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"2";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"3";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Push Up";"4";"66.67807839000001";"20";"";"";"";"";""
"3";"2020-04-22 20:16:27";"Hypertrophy 1: 20-25";"3353";"Inverted Row (Bodyweight)";"1";"";"20";"";"";"";"";""
